               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.067189,            0.011214,           0.0046052,             0.40053,             0.31974,             0.37462,             0.15008,            0.045704,            0.016059,           0.0049899,           0.0033248,           0.0033248,            0.070077
                   1,            0.059727,            0.009743,           0.0025181,             0.40343,             0.36526,             0.39434,             0.17259,            0.043105,             0.01006,           0.0027078,           0.0066213,           0.0066213,             0.04004
                   2,            0.059377,            0.009652,           0.0022702,             0.39613,             0.32992,             0.38679,             0.19634,            0.039781,            0.010742,           0.0048194,           0.0097714,           0.0097714,           0.0098567
                   3,             0.05615,           0.0096469,           0.0021457,             0.43135,             0.37199,             0.39133,             0.21502,            0.040336,            0.010456,          0.00087985,           0.0095095,           0.0095095,           0.0095095
                   4,            0.054324,           0.0094545,           0.0019953,             0.44765,             0.37944,             0.41512,             0.23402,            0.041871,             0.01521,             0.01223,           0.0095095,           0.0095095,           0.0095095
                   5,            0.053176,           0.0091407,           0.0019718,              0.4481,             0.40999,             0.40991,             0.17564,            0.043686,           0.0097338,           0.0092855,           0.0091406,           0.0091406,           0.0091406
                   6,            0.052827,           0.0091751,           0.0018042,             0.51007,              0.4418,             0.43778,             0.24877,            0.042189,           0.0091777,            0.020386,            0.008682,            0.008682,            0.008682
                   7,            0.052182,           0.0092709,           0.0018044,             0.42292,              0.6047,             0.44576,             0.27608,            0.035789,           0.0090811,           0.0076892,            0.008145,            0.008145,            0.008145
                   8,            0.051673,           0.0090253,           0.0017232,             0.51996,             0.66441,             0.49966,             0.28633,            0.034981,           0.0093186,           0.0026894,            0.007543,            0.007543,            0.007543
                   9,            0.050742,           0.0088722,           0.0016212,             0.48297,             0.41242,             0.44014,              0.2369,            0.035267,            0.013664,           0.0074719,           0.0068906,           0.0068906,           0.0068906
                  10,             0.04959,           0.0088608,           0.0015293,             0.48917,              0.4059,              0.4211,              0.2525,            0.034923,            0.008918,           0.0046288,            0.006204,            0.006204,            0.006204
                  11,            0.049161,           0.0088413,            0.001586,             0.45719,             0.55142,             0.47253,             0.25546,            0.038934,           0.0096126,           0.0087298,              0.0055,              0.0055,              0.0055
                  12,            0.047849,           0.0086578,           0.0014536,             0.55214,              0.6882,             0.53047,             0.30488,            0.030515,           0.0080368,           0.0064023,            0.004796,            0.004796,            0.004796
                  13,            0.047456,           0.0086655,           0.0012607,             0.58601,             0.60641,             0.53374,             0.30783,            0.030653,           0.0097686,           0.0078089,           0.0041094,           0.0041094,           0.0041094
                  14,            0.045871,           0.0084743,           0.0012727,             0.51758,             0.43469,             0.45552,               0.303,             0.02898,            0.010075,           0.0039494,            0.003457,            0.003457,            0.003457
                  15,            0.045392,           0.0084615,           0.0012299,             0.59803,             0.68653,             0.60445,             0.34708,            0.028435,           0.0090695,           0.0045424,            0.002855,            0.002855,            0.002855
                  16,            0.044578,           0.0082233,           0.0011774,             0.55039,             0.69169,             0.52866,             0.34309,            0.026675,           0.0083509,            0.010904,            0.002318,            0.002318,            0.002318
                  17,            0.044071,           0.0081474,           0.0010799,             0.59926,             0.71518,             0.59747,             0.36687,            0.026498,            0.007361,           0.0056829,           0.0018594,           0.0018594,           0.0018594
                  18,            0.043335,           0.0081275,           0.0010217,             0.72039,             0.53601,             0.60239,             0.36512,            0.025281,           0.0075482,           0.0055212,           0.0014905,           0.0014905,           0.0014905
                  19,            0.042374,           0.0079647,          0.00082762,             0.64036,             0.57217,             0.58309,             0.36005,            0.025093,           0.0078301,           0.0074635,           0.0012202,           0.0012202,           0.0012202
